,name,id1,id2,price_per_L,gender,page,url,description,other_text
571,"Tommy Man, EdT 30 ml",931915,7640496670146,766.33,men,2,https://www.rossmann.de/de/pflege-und-duft-tommy-hilfiger-tommy-man-edt-30-ml/p/7640496670146,"Tommy Hilfiger Tommy Man ist ein frischer holziger Duft für Männer, die einen einfachen und geradlinigen Stil bevorzugen. Die Naturtöne aus allen Gebieten von Amerika geben diesem Duft einen Hauch von Freiheit und Ungebundenheit. Seien Sie elegant verführerisch und erfrischen Sie Ihren Körper und Ihre Seele mit diesem Parfüm von der bekannten Marke Tommy Hilfiger. ","<ul><li>Kopf: Bergamotte, Minze, Lavendel</li><li>Herz: Apfel, Preiselbeeren, Rose</li><li>Grund: Bernstein, Baumwolleblüte, Kaktus</li><li>Duftfamilien: aromatisch, holzig</li></ul>"
572,"N°1 Platinum, EdT 100 ml",075684,4013670000016,799.9,men,2,https://www.rossmann.de/de/pflege-und-duft-etienne-aigner-n1-platinum-edt-100-ml/p/4013670000016,"Das Aigner No.1 Platinum Eau de Toilette Spray ist ein aromatischer Duft für Herren, der ein üppiges Bouquet aus warmen Holztönen, orientalischen Nuancen, anregenden Gewürzen und erfrischenden Fruchttönen aufweist. Raues Patchouli trifft auf saftige Mandarinorangen und Minze Das Aigner No.1 Platinum Eau de Toilette Spray ist ein seit 2015 erhältlicher Herrenduft, der gekonnt mit gegensätzlichen Duftnoten spielt, die so perfekt miteinander kombiniert werden, dass eine unverwechselbare und unwiderstehliche Gesamtkreation entsteht. Der Duft wirkt hierdurch sehr selbstbewusst und strahlt maskuline Stärke und Sinnlichkeit aus. Beim Auftragen entfaltet das Aigner No.1 Platinum Eau de Toilette Spray zunächst eine belebende Kopfnote, die aus erfrischenden Orangen, anregender Minze, Mandarinorangen, Bergamotte und ozonischen Noten besteht. Für leidenschaftliches Temperament sorgt die Mitte, in der warme Holztöne auf Gewürze wie schwarzen Pfeffer, Kardamom, Koriander und Nelken treffen. Die Basis kombiniert orientalische Nuancen wie Patchouli und Weihrauch mit edlem Cashmeran, erdigem Moos, Guajakholz und Kristallambra. Ein Hauch Vanille rundet die Kreation ab und setzt einen verführerischen süßen Akzent. ",
573,"Pure Man, Edt 30 ml",096885,3616301640912,433.0,men,2,https://www.rossmann.de/de/pflege-und-duft-bruno-banani-pure-man-edt-30-ml/p/3616301640912,"Männlich-herb markiert der Pure Man sein Revier und raubt jeder Lady den Atem. Der direkte und fordernde Herrenduft entfacht ein Feuer der Leidenschaft und Verführung - Sexappeal und Humor stehen im Mittelpunkt. Eine puristische Komposition der Ingredienzien in der Kopfnote eröffnen das Spiel: Ein Cocktail aus Mandarine, Orange, Grapefruit, Anis, Bergamotte und Kardamom. Untermalt wird das mit einer überraschend-blumigen Herznote aus Alpenveilchen, Jasmin und Zeder. Die holzige Basisnote aus Sandelholz, Johanniskraut, Moschus, Benzoe und Vetiver rundet den eleganten Herrenduftbetörend ab. Das Parfüm kommt im schlichten Flakon: Ein stilvoller Twist im typisch asymmetrischen Look - ein charmanter Hingucker! Not for everybody! Nonkonform, individuell und trendig: Der Chemnitzer Unterwäschen- und Dessoushersteller bruno banani ist seit seinen Anfängen 1994 aus der deutschen Modebranche nicht mehr wegzudenken. Seit mehr als 20 Jahren steht das Unternehmen für Qualität und Exklusivität. Neben hochwertiger Unterwäsche ist die Kultmarke auch für unwiderstehlich aufregende Düfte und einzigartige Accessoires bekannt - gemacht für Individualisten! ","<ul><li><b>Zielgruppe: </b>für Ihn</li><li><b>Kopfnote</b>: Mandarine, Orange, Grapefruit, Anis, Bergamotte, Kardamom</li><li><b>Herznote</b>: Alpenveilchen, Jasmin, Zeder</li><li><b>Basisnote</b>: Sandelholz, Johanniskraut, Moschus, Benzoe, Vetiver</li><li><b>Duftfamilie</b>: holzig, blumig</li></ul>"
574,"Chrome United, EdT 100 ml",023024,3351500957712,499.9,men,2,https://www.rossmann.de/de/pflege-und-duft-azzaro-chrome-united-edt-100-ml/p/3351500957712,"Die Komposition von Chrome United begeistert durch würzig-holzige Akkorde und ist durch gemeinsame Momente in vertrauter Gersellschaft inspiriert, die das Leben entspannter und angenehmer machen.Die Kopfnote von Chrome United erfrischt mit einer zitrischen Noten von Bergamotte, kombiniert mit Gewürznoten aus Koriander und Szechuanpfeffer. Die Herznote besteht aus intensiven Akkorden von schwarzem Ceylon-Tee und Veilchenblatt, die auf einer Basis aus holzigen Noten von Zedernholz und weißem Moschus ruhen. ","<ul><li><b>Zielgruppe:</b> für Ihn</li><li><b>Kopfnote: </b>Bergamotte, Koriander und Szechuanpfeffer</li><li><b>Herznote: </b>Schwarzer Ceylon-Tee und Veilchenblätter</li><li><b>Basisnote: </b>Zedernholz und weißem Moschus</li><li><b>Duftfamilie:</b> würzig, holzig</li></ul>"
575,"Man, Aftershave Spray 50 ml",096569,3616301640851,239.8,men,2,https://www.rossmann.de/de/pflege-und-duft-bruno-banani-man-aftershave-spray-50-ml/p/3616301640851,"So duftet der selbstbewusste Mann, der weiß, worauf es ankommt: Mit einer unverwechselbaren Komposition aus Vanille, Edelhölzern und würziger Nelke besticht das bruno banani Man als zugleich herb-maskuliner und aromatischer Herrenduft. In der warmen Herznote werden Thymian und Kümmel-Noten entfacht, die durch die warme Basisnote aus Vanille und Sandelholz begleitet werden. Verfeinert mit einem Hauch Basilikum und Lavendel sowie einem eleganten Abgang durch intensive Kaffee-Noten und würzige Nelken-Essenzen, ergeben die Duft Nuancen das holzig-süße Herren Parfüm im ausgefallenen, schrägen Flakon. bruno banani - Not for everybody! Nonkonform, individuell und trendig: Der Chemnitzer Unterwäschen- und Dessoushersteller bruno banani ist seit seinen Anfängen 1994 aus der deutschen Modebranche nicht mehr wegzudenken. Seit mehr als 20 Jahren steht das Unternehmen für Qualität und Exklusivität. Neben hochwertiger Unterwäsche ist die Kultmarke auch für unwiderstehlich aufregende Düfte und einzigartige Accessoires bekannt - gemacht für Individualisten! ","<ul><li><b>Zielgruppe</b>: für Ihn</li><li><b>Kopfnote</b>: Lavendel, Basilikum, Sternanis</li><li><b>Herznote</b>: Kaffee, Kümmel, Nelke, Heliotrop</li><li><b>Basisnote</b>: Sandelholz, Tonkabohne, Vanille</li><li><b>Duftfamilie</b>: herb, aromatisch, würzig</li></ul>"
576,"1881, After Shave 100 ml",952514,0719346361200,329.9,men,2,https://www.rossmann.de/de/pflege-und-duft-cerruti-1881-after-shave-100-ml/p/0719346361200,,"<ul><li>Pflege nach der Rasur</li><li>Duftnote: Holzig</li><li>ein charmanter, lebhafter Duft, bestehend aus einer ganz besonderen warmen Herznote</li></ul>"
577,"Classic Grey, EdT 100 ml",114650,3386460131346,299.9,men,2,https://www.rossmann.de/de/pflege-und-duft-lagerfeld-classic-grey-edt-100-ml/p/3386460131346,"Karl Lagerfeld interpretiert seinen ikonischen Duftklassiker neu und taucht Lagerfeld Classic in ein pures und elegantes Grau. Classic Cool Grey erscheint im einzigartigen und schlichtem Signature Flacon, und spielt mit seinem rauchigen Grau auf das Charisma des Designers an. ","<ul><li><b>Zielgruppe</b>: für Ihn</li><li><b>Kopfnote</b>: Lorbeerblatt, Haselnuss, Lavendel</li><li><b>Herznote</b>: Eichenholz, Zedernholz</li><li><b>Basisnote</b>: Sandelholz, Vanille, Moos</li><li><b>Duftfamilie</b>: holzig, blumig</li></ul>"
578,"Ice Touch Man, EdT 50 ml",164331,3616305169044,319.8,men,2,https://www.rossmann.de/de/pflege-und-duft-mexx-ice-touch-man-edt-50-ml/p/3616305169044,"Belebend und aktivierend: Das MEXX ICE TOUCH Man Eau de Toilette ist ein holzig-aromatischer Fougère-Duft für Herren, der mit seiner frischen Note jedem Moment eine Portion Extra-Energie verleiht. Die Kopfnote aus saftigem grünem Apfel, Mandarine und pinker Grapefruit ist fein auf die Herznote aus Jasmin und würzigen Zedernblättern abgestimmt. Die warme Basis bildet eine harmonische Komposition aus Sandelholz, Ambra, Tonkabohne und Patschuli. Der Duft ist für jede Gelegenheit geeignet und der ideale Begleiter durch den ganzen Tag – vom morgendlichen Frischekick bis hin zum perfekten Finish für den Abend. Der edle Flakon aus Milchglas mit dem ikonisch geprägten Logo macht das Eau de Toilette zu einem echten Must-have für jeden Mann. MEXX ICE TOUCH Man Eau de Toilette stammt aus der MEXX Essentials-Kollektion, einer Reihe vielseitiger Düfte für jeden Anlass und Style. ","<ul><li><b>Zielgruppe:</b> für Ihn</li><li><b>Kopfnote:</b> Apfel, Mandarine, Grapefruit</li><li><b>Herznote: </b>Jasmin, Zedernblätter</li><li><b>Basisnote: </b>Sandelholz, Ambra, Tonkabohne, Patschuli</li><li><b>Duftfamilie: </b>holzig-aromatisch</li></ul>"
579,"Pour Homme, EdT 100 ml",903844,3351500980406,499.9,men,2,https://www.rossmann.de/de/pflege-und-duft-azzaro-pour-homme-edt-100-ml/p/3351500980406,"Von italienischer Eleganz und Raffinesse geprägt und in Anlehnung an seinen Schöpfer Loris Azzaro, verbindet dieser geschmeidige Duft mit seiner lebendigen, kraftvollen Silhouette natürliche Sinnlichkeit und instinktive Eleganz; seine ikonische Signatur ""fougère aromatisch-holzig"" verleiht Männern eine zeitlose, charismatische Männlichkeit. Diese Kreation verbindet Leuchtkraft (Zitrusnoten und Sternanis) und Verführung (der ""Fougère""-Akkord) mit zeitlose Männlichkeit (Patchouli, Vetiver, Sandelholz). ",<ul><li><b>Zielgruppe: </b>für Ihn</li><li><b>Kopfnote:</b> Anis</li><li><b>Herznote: </b>Lavendel</li><li><b>Basisnote:</b> Vetvier</li><li><b>Duftfamilie:</b> aromatisch</li></ul>
580,"ACE OF SPADES, EdP 100 ml",146752,4260609793741,399.9,men,2,https://www.rossmann.de/de/pflege-und-duft-motoerhead-ace-of-spades-edp-100-ml/p/4260609793741,"Dezenter Weihrauch,Rosenoxid und Whiskeynoten geben diesem Parfum im Herzen viel Körper. Die Parfumnoten beschreiben ein Drydown, in dem sich jeder gern verliert. ","<ul><li><b>Zielgruppe</b>: für ihn</li><li><b>Kopfnote</b>: Zitrone, Elemi, Rhabarber, Basilikum</li><li><b>Herznote</b>: Rosenoxid, Whiskynote, schwarze Johannisbeerknospe, Weihrauch</li><li><b>Basisnote</b>: Atlas- und Texas-Zeder, Moschus, Birkenteeröl, Gaiac-Holz</li><li><b>Duftfamilie:</b> floral-metallisch, incense-rauchig, holzig</li></ul>"
